"Longitude(x)"	"Latitude(y)"	"Clytolaema_rubricauda"	"Heliodoxa_aurescens"	"Heliodoxa_branickii"	"Heliodoxa_gularis"	"Heliodoxa_imperatrix"	"Heliodoxa_jacula"	"Heliodoxa_leadbeateri"	"Heliodoxa_rubinoides"	"Heliodoxa_schreibersii"	"Heliodoxa_xanthogonys"	"Hylonympha_macrocerca"	"Sternoclyta_cyanopectus"
"217"	-70.75	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"218"	-70.65	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"219"	-70.55	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"220"	-70.45	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"221"	-70.35	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"222"	-70.25	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"223"	-70.15	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"224"	-70.05	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"225"	-69.95	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"226"	-69.85	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"227"	-69.75	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"228"	-69.65	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"229"	-69.55	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"230"	-69.45	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"231"	-69.35	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"232"	-69.25	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"233"	-69.15	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"234"	-69.05	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"235"	-68.95	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"236"	-68.85	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"237"	-68.75	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"238"	-68.65	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"239"	-68.55	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"240"	-68.45	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"241"	-68.35	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"242"	-68.25	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"243"	-68.15	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"244"	-68.05	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"245"	-67.95	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"246"	-67.85	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"247"	-67.75	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"248"	-67.65	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"249"	-67.55	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"250"	-67.45	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"251"	-67.35	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"252"	-67.25	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"253"	-67.15	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"254"	-67.05	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"255"	-66.95	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"256"	-66.85	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"257"	-66.75	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"258"	-66.65	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"259"	-66.55	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"260"	-66.45	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"261"	-66.35	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"262"	-66.25	10.35	0	0	0	0	0	0	1	0	0	0	0	1
"263"	-66.15	10.35	0	0	0	0	0	0	0	0	0	0	0	1
"264"	-84.65	10.25	0	0	0	0	0	1	0	0	0	0	0	0
"265"	-84.45	10.25	0	0	0	0	0	1	0	0	0	0	0	0
"266"	-84.35	10.25	0	0	0	0	0	1	0	0	0	0	0	0
"267"	-84.25	10.25	0	0	0	0	0	1	0	0	0	0	0	0
"268"	-72.95	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"269"	-72.85	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"270"	-72.75	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"271"	-70.85	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"272"	-70.75	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"273"	-70.65	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"274"	-70.55	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"275"	-70.45	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"276"	-70.35	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"277"	-70.25	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"278"	-70.15	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"279"	-70.05	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"280"	-69.95	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"281"	-69.85	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"282"	-69.75	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"283"	-69.65	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"284"	-69.55	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"285"	-69.45	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"286"	-69.35	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"287"	-69.25	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"288"	-69.15	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"289"	-69.05	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"290"	-68.95	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"291"	-68.85	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"292"	-68.75	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"293"	-68.65	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"294"	-68.55	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"295"	-68.45	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"296"	-68.35	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"297"	-68.25	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"298"	-68.15	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"299"	-68.05	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"300"	-67.95	10.25	0	0	0	0	0	0	1	0	0	0	0	0
"301"	-67.85	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"302"	-67.75	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"303"	-67.65	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"304"	-67.55	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"305"	-67.45	10.25	0	0	0	0	0	0	1	0	0	0	0	1
"306"	-67.35	10.25	0	0	0	0	0	0	1	0	0	0	0	1
